"Create Permanent Redirect for old URL","Criar redirecionamento permanente para a URL antiga"
"Category URL Suffix","Sufixo da URL de categoria"
"You need to refresh the cache.","Você precisará atualizar o cache."
"Product URL Suffix","Sufixo da URL de produto"
"Use Categories Path for Product URLs","Usar caminhos de categorias para a URLs de produto"
"Create Permanent Redirect for URLs if URL Key Changed","Criar redirecionamento permanente para URLs se a chave URL modificar"
