"Format for IDE '%1' is not supported","O formato para a IDE '%1' não é suportado"
"Client side less compilation","Compilar LESS no lado cliente"
"Server side less compilation","Compilar LESS no lado servidor"
"Frontend Development Workflow","Fluxo de Trabalho para Frontend"
"Workflow type","Tipo de fluxo de trabalho"
"Not available in production mode","Não disponível em modo de produção"
"Developer Client Restrictions","Restrições de Cliente Desenvolvedor"
"Allowed IPs (comma separated)","IPs permitidos (separados por vírgula)"
"Leave empty for access from any location.","Deixe vazio para acessar de qualquer lugar."
